anio,PRCPTOT,SDII,CWD,CDD,R10mm,R20mm,R40mm,R95pTOT,R99pTOT,Rx1day,Rx5day,FD,SU,ID,TR,TXx,TNx,TXn,TNn,TN10p,TX10p,TN90p,TX90p,WSDI,CSDI,DTR,GSL
1961,820.8000000000001,12.926984126984129,3.0,33.0,26.0,13.0,5.0,170.5,0.0,59.0,93.0,18,106,0,15,35.1,23.0,7.8,-3.7,15.068493150684931,9.315068493150685,11.78082191780822,8.493150684931507,0,0,10.801917808219178,
1962,765.0,16.465217391304346,5.0,43.0,24.0,14.0,2.0,131.0,131.0,131.0,150.4,19,120,0,6,37.2,20.9,6.6,-3.7,16.986301369863014,10.684931506849315,7.123287671232877,10.136986301369863,0,0,11.4786301369863,
1963,1533.8,19.336708860759494,5.0,15.0,44.0,30.0,8.0,507.59999999999997,204.4,108.2,134.4,8,97,0,14,35.5,23.0,6.6,-1.2,12.054794520547945,11.78082191780822,11.78082191780822,7.671232876712329,0,0,9.453972602739725,
1964,887.9999999999999,15.471929824561405,4.0,25.0,28.0,11.0,3.0,292.5,237.8,148.6,148.6,23,93,0,5,35.5,21.1,8.0,-4.7,19.12568306010929,9.01639344262295,5.191256830601093,8.469945355191257,0,6,11.633060109289618,
1965,593.3000000000001,10.408928571428572,3.0,21.0,23.0,9.0,0.0,0.0,0.0,37.7,55.0,17,109,0,17,38.1,22.7,6.5,-3.1,18.63013698630137,12.054794520547945,12.32876712328767,17.80821917808219,6,0,11.529589041095889,
1966,1007.3000000000001,13.521621621621621,4.0,31.0,37.0,13.0,6.0,230.2,0.0,70.4,127.4,12,95,0,6,34.6,22.5,8.7,-4.0,15.616438356164384,10.95890410958904,6.8493150684931505,5.7534246575342465,0,7,10.71287671232877,
1967,1224.3,15.961842105263159,3.0,25.0,38.0,20.0,8.0,320.1,0.0,69.3,203.8,15,118,0,15,38.1,23.8,6.2,-5.7,12.876712328767123,9.04109589041096,10.684931506849315,11.78082191780822,0,0,10.888493150684932,
1968,834.5,13.084126984126984,4.0,30.0,27.0,11.0,4.0,142.2,89.2,89.2,122.80000000000001,7,111,0,14,37.5,22.3,8.6,-1.2,11.475409836065573,7.377049180327869,11.202185792349727,10.10928961748634,0,0,10.724316939890711,
1969,835.0,15.671698113207546,2.0,38.0,28.0,12.0,4.0,255.5,82.8,82.8,106.4,10,123,0,15,36.4,24.5,9.0,-2.4,15.890410958904111,7.123287671232877,10.684931506849315,12.602739726027398,0,0,11.22109589041096,
1970,743.3,12.39491525423729,4.0,23.0,26.0,11.0,2.0,133.89999999999998,80.1,80.1,84.1,10,112,0,30,36.8,26.4,7.9,-3.6,13.698630136986301,10.41095890410959,14.520547945205479,12.602739726027398,0,0,10.735616438356164,
1971,918.2,12.093333333333335,4.0,22.0,32.0,15.0,5.0,52.0,0.0,52.0,95.5,14,95,0,24,37.8,26.6,7.8,-3.1,15.616438356164384,14.246575342465754,11.232876712328768,9.315068493150685,0,0,10.425449101796408,
1972,961.2,13.958823529411763,5.0,37.0,28.0,16.0,5.0,259.7,0.0,79.0,90.8,8,98,0,20,35.0,23.9,7.2,-2.6,10.92896174863388,10.92896174863388,11.475409836065573,6.557377049180328,0,0,9.975956284153007,
1973,908.3,11.457692307692309,4.0,27.0,29.0,10.0,4.0,195.7,0.0,72.4,116.0,9,92,0,22,33.9,23.9,7.4,-2.1,12.602739726027398,12.602739726027398,10.95890410958904,6.575342465753424,0,0,9.843835616438357,
1974,758.4000000000001,11.377272727272727,3.0,32.0,26.0,12.0,2.0,119.0,0.0,59.5,78.7,15,109,0,16,35.0,22.5,9.0,-4.6,13.698630136986301,7.9452054794520555,12.32876712328767,9.58904109589041,0,0,10.615616438356163,
1975,816.2,14.150877192982456,5.0,27.0,23.0,15.0,5.0,224.8,0.0,71.5,150.2,6,105,0,24,37.1,23.3,7.4,-2.6,9.863013698630137,8.493150684931507,13.424657534246576,9.863013698630137,0,0,10.407123287671233,
1976,1273.4,16.156410256410258,5.0,26.0,40.0,20.0,10.0,371.5,0.0,72.7,106.5,18,84,0,18,34.8,22.8,8.4,-3.6,12.568306010928962,16.39344262295082,9.836065573770492,6.830601092896176,0,0,9.919125683060109,
1977,1202.0,16.809859154929576,4.0,29.0,42.0,21.0,7.0,305.9,80.0,80.0,151.2,6,113,0,31,33.6,24.6,8.5,-2.3,9.04109589041096,9.863013698630137,18.356164383561644,9.04109589041096,0,6,9.696986301369861,
1978,1216.4,14.941975308641977,5.0,27.0,44.0,18.0,6.0,158.1,0.0,56.6,137.0,11,90,0,6,34.0,21.7,8.6,-2.6,11.232876712328768,11.78082191780822,10.136986301369863,5.205479452054795,0,0,10.026301369863013,
1979,581.9,11.787755102040817,3.0,35.0,23.0,7.0,3.0,54.0,0.0,54.0,65.8,10,110,0,10,36.5,21.3,9.4,-2.5,14.794520547945206,9.04109589041096,7.9452054794520555,9.315068493150685,0,0,11.35068493150685,
1980,1283.6,16.36153846153846,3.0,16.0,38.0,17.0,5.0,444.79999999999995,325.9,155.1,156.0,7,125,0,35,36.3,27.2,7.9,-2.6,8.469945355191257,9.289617486338798,18.852459016393443,10.655737704918032,7,0,9.625136612021858,
