anio,estacion,PRCPTOT,SDII,CWD,CDD,R10mm,R20mm,R40mm,R95pTOT,R99pTOT,Rx1day,Rx5day,FD,SU,ID,TR,TXx,TNx,TXn,TNn,TN10p,TX10p,TN90p,TX90p,WSDI,CSDI,DTR,GSL
1961,Invierno,97.30000000000001,10.600000000000001,1.0,33.0,3.0,1.0,1.0,0.0,0.0,40.4,56.099999999999994,15,0,0,0,24.8,15.8,7.8,-3.7,15.217391304347828,8.695652173913043,13.043478260869565,7.608695652173914,0,0,9.67282608695652,
1961,Otoño,229.2,15.046666666666665,3.0,19.0,8.0,2.0,2.0,111.5,0.0,58.0,72.7,2,18,0,4,31.1,21.8,13.9,-2.0,14.130434782608695,11.956521739130435,11.956521739130435,10.869565217391305,0,0,10.782608695652172,
1961,Primavera,260.8,13.0,3.0,11.0,10.0,6.0,1.0,0.0,0.0,42.6,52.7,1,26,0,1,31.8,20.2,11.6,-0.2,13.186813186813188,5.4945054945054945,15.384615384615385,10.989010989010989,0,0,10.938461538461539,
1961,Verano,233.50000000000003,12.278947368421052,2.0,10.0,5.0,4.0,1.0,59.0,0.0,59.0,93.0,0,62,0,10,35.1,23.0,18.1,6.3,17.77777777777778,11.11111111111111,6.666666666666667,4.444444444444445,0,0,11.837777777777779,
1962,Invierno,160.6,15.690000000000001,5.0,27.0,6.0,3.0,0.0,0.0,0.0,39.4,87.2,14,0,0,0,24.8,16.0,6.6,-3.7,20.652173913043477,17.391304347826086,9.782608695652174,6.521739130434782,0,0,9.683695652173913,
1962,Otoño,241.20000000000002,24.0,2.0,16.0,4.0,3.0,2.0,131.0,131.0,131.0,150.4,3,30,0,3,36.3,20.9,9.0,-2.4,14.130434782608695,10.869565217391305,9.782608695652174,15.217391304347828,0,0,11.82826086956522,
1962,Primavera,212.79999999999998,19.154545454545456,3.0,22.0,9.0,5.0,0.0,0.0,0.0,32.6,71.7,2,18,0,0,33.5,19.5,11.8,-1.2,15.384615384615385,4.395604395604396,6.593406593406594,14.285714285714285,0,0,11.503296703296703,
1962,Verano,150.39999999999998,9.986666666666668,2.0,16.0,5.0,3.0,0.0,0.0,0.0,38.4,40.699999999999996,0,72,0,3,37.2,20.8,21.0,4.8,17.77777777777778,10.0,2.2222222222222223,4.444444444444445,0,0,12.931111111111111,
1963,Invierno,388.9,19.404999999999998,3.0,13.0,11.0,8.0,2.0,128.9,0.0,65.9,134.4,5,0,0,0,24.2,15.4,6.6,-1.2,9.782608695652174,5.434782608695652,17.391304347826086,7.608695652173914,0,0,7.913043478260868,
1963,Otoño,302.7,21.507142857142863,2.0,13.0,6.0,5.0,2.0,157.5,96.2,96.2,125.1,3,26,0,3,31.5,21.0,13.7,-1.2,18.478260869565215,8.695652173913043,16.304347826086957,16.304347826086957,0,0,10.746739130434781,
1963,Primavera,400.90000000000003,15.353846153846153,5.0,12.0,14.0,10.0,1.0,56.0,0.0,56.0,92.4,0,5,0,0,30.8,17.3,10.4,2.7,12.087912087912088,20.87912087912088,7.6923076923076925,3.296703296703297,0,0,8.962637362637363,
1963,Verano,441.29999999999995,23.115789473684213,3.0,10.0,13.0,7.0,3.0,165.2,108.2,108.2,109.2,0,66,0,11,35.5,23.0,19.8,8.0,7.777777777777778,12.222222222222221,5.555555555555555,3.3333333333333335,0,0,10.204444444444443,
1964,Invierno,125.00000000000001,11.30909090909091,2.0,21.0,5.0,1.0,0.0,0.0,0.0,35.9,39.4,19,0,0,0,22.5,14.2,8.0,-4.7,20.652173913043477,9.782608695652174,6.521739130434782,8.695652173913043,0,0,11.48804347826087,
1964,Otoño,313.7,15.655000000000001,4.0,21.0,14.0,5.0,1.0,54.7,0.0,54.7,71.1,1,15,0,1,30.1,20.3,13.9,-1.8,14.130434782608695,8.695652173913043,8.695652173913043,8.695652173913043,0,6,10.960869565217392,
1964,Primavera,244.60000000000002,13.405555555555557,4.0,9.0,6.0,4.0,1.0,89.2,89.2,89.2,110.9,3,8,0,0,27.6,17.0,10.2,-2.2,21.978021978021978,10.989010989010989,3.296703296703297,6.593406593406594,0,0,11.262637362637363,
1964,Verano,204.70000000000002,25.387500000000003,1.0,25.0,3.0,1.0,1.0,148.6,148.6,148.6,148.6,0,70,0,4,35.5,21.1,20.5,5.2,19.78021978021978,6.593406593406594,2.197802197802198,9.89010989010989,0,0,12.82967032967033,
1965,Invierno,113.6,7.36,3.0,21.0,6.0,0.0,0.0,0.0,0.0,15.3,29.9,13,2,0,0,25.9,18.4,6.5,-3.1,11.956521739130435,11.956521739130435,23.91304347826087,19.565217391304348,0,0,9.071739130434782,
1965,Otoño,138.20000000000002,11.308333333333335,2.0,21.0,4.0,3.0,0.0,0.0,0.0,30.0,55.0,2,19,0,0,31.5,19.8,8.1,-1.2,28.26086956521739,20.652173913043477,2.1739130434782608,15.217391304347828,0,0,12.471739130434784,
1965,Primavera,149.2,11.23076923076923,2.0,19.0,5.0,3.0,0.0,0.0,0.0,32.5,32.5,2,16,0,4,34.1,21.8,13.1,-1.0,20.87912087912088,8.791208791208792,14.285714285714285,12.087912087912088,0,0,11.454945054945053,
1965,Verano,192.3,11.925,2.0,15.0,8.0,3.0,0.0,0.0,0.0,37.7,53.2,0,72,0,13,38.1,22.7,19.1,6.0,13.333333333333334,6.666666666666667,8.88888888888889,24.444444444444443,6,0,13.154444444444445,
1966,Invierno,127.80000000000001,10.483333333333333,4.0,31.0,5.0,1.0,1.0,0.0,0.0,45.1,55.7,8,0,0,0,23.8,18.8,8.7,-4.0,10.869565217391305,10.869565217391305,7.608695652173914,9.782608695652174,0,0,9.876086956521739,
